Parser Statistics
;Value
Filtered out rows count;3
Lost rows percentage;1.1177749541954453e-05
Original rows count;26839034
Statistical profile
;folder;dialogueID;date;from;to;text
NumericResults;******;******;******;******;******;******
Count distinct;349;-;-;-;-;-
Count not null;26839031;-;-;-;-;-
Count null;0;-;-;-;-;-
Entropy;5.29311259128588;-;-;-;-;-
Number statistics average;20.05786188778574;-;-;-;-;-
Number statistics max;577;-;-;-;-;-
Number statistics min;3;-;-;-;-;-
Number statistics standard deviation;32.316120369428035;-;-;-;-;-
Number statistics variance;1044.3316357313613;-;-;-;-;-
StringResults;******;******;******;******;******;******
Characters entropy;-;3.689771595563786;-;5.0255030707759945;5.021807990546221;4.649656365726467
Count blank spaces statistics average;-;0.0;-;0.0014614163976337299;0.0;9.150746351461049
Count blank spaces statistics max;-;0;-;3;0;460
Count blank spaces statistics min;-;0;-;0;0;0
Count blank spaces statistics standard deviation;-;0.0;-;0.0384716944803917;0.0;9.453004802636546
Count blank spaces statistics variance;-;0.0;-;0.001480071276192601;0.0;89.35929979866961
Count distinct characters;-;14;-;73;72;2910
Count distinct messages;-;346108;-;317968;306237;12520976
Count distinct words;-;346108;-;317965;306237;3373817
Count not null;-;26839031;-;26839031;17337089;26839031
Count null;-;0;-;0;9501942;0
Message length statistics average;-;8.587364685409097;-;7.403547654160838;7.375154617940763;56.08158595591622
Message length statistics max;-;10;-;18;16;473
Message length statistics min;-;5;-;1;1;2
Message length statistics standard deviation;-;1.0824375991033477;-;2.65392200374261;2.6484575681443103;50.30741485386312
Message length statistics variance;-;1.1716711559526198;-;7.04330200194919;7.014327490260875;2530.835989278688
Messages entropy;-;16.622849598232325;-;15.054665529112372;15.286245817199548;22.389554481453636
Words entropy;-;16.622849598232325;-;15.05079685074409;15.286245817199548;11.461080395128512
Words length statistics average;-;8.587364685409097;-;7.403547654160838;7.375154617940763;56.08158595591622
Words length statistics max;-;10;-;18;16;473
Words length statistics min;-;5;-;1;1;2
Words length statistics standard deviation;-;1.0824375991033477;-;2.65392200374261;2.6484575681443103;50.30741485386312
Words length statistics variance;-;1.1716711559526198;-;7.04330200194919;7.014327490260875;2530.835989278688
TimestampResults;******;******;******;******;******;******
Count distinct;-;-;2997018;-;-;-
Count not null;-;-;26839031;-;-;-
Count null;-;-;0;-;-;-
Delta time in seconds entropy;-;-;0.5604407438321847;-;-;-
Delta time in seconds statistics average;-;-;9.883906385588451;-;-;-
Delta time in seconds statistics max;-;-;3693120.0;-;-;-
Delta time in seconds statistics min;-;-;0.0;-;-;-
Delta time in seconds statistics standard deviation;-;-;907.6195599414791;-;-;-
Delta time in seconds statistics variance;-;-;823773.2655883641;-;-;-
Newest date;-;-;2012-11-30 20:03:00;-;-;-
Oldest date;-;-;2004-07-05 12:42:00;-;-;-
Timestamp entropy;-;-;21.072534813312345;-;-;-
Parser Statistics
;Value
Filtered out rows count;3
Lost rows percentage;1.1177749541954453e-05
Original rows count;26839034

Statistical profile
;folder;dialogueID;date;from;to;text
NumericResults;******;******;******;******;******;******
Count distinct;349;-;-;-;-;-
Count not null;26839031;-;-;-;-;-
Count null;0;-;-;-;-;-
Entropy;5.29311259128588;-;-;-;-;-
Number statistics average;20.05786188778574;-;-;-;-;-
Number statistics max;958;-;-;-;-;-
Number statistics min;3;-;-;-;-;-
Number statistics standard deviation;32.31612036959029;-;-;-;-;-
Number statistics variance;1044.3316357418482;-;-;-;-;-
StringResults;******;******;******;******;******;******
Characters entropy;-;3.6897715955637866;-;5.025503070775996;5.021807990546221;4.649656365726432
Count blank spaces statistics average;-;0.0;-;0.0014614163976337299;0.0;9.150746351461049
Count blank spaces statistics max;-;0;-;5;0;461
Count blank spaces statistics min;-;0;-;0;0;0
Count blank spaces statistics standard deviation;-;0.0;-;0.03847169448096595;0.0;9.453004802637734
Count blank spaces statistics variance;-;0.0;-;0.0014800712762367857;0.0;89.35929979869205
Count distinct characters;-;14;-;73;72;2910
Count distinct messages;-;346108;-;317968;306237;12520976
Count distinct words;-;346108;-;317965;306237;3373817
Count not null;-;26839031;-;26839031;17337089;26839031
Count null;-;0;-;0;9501942;0
Message length statistics average;-;8.587364685409097;-;7.403547654160838;7.375154617940763;56.08158595591622
Message length statistics max;-;10;-;18;16;473
Message length statistics min;-;5;-;1;1;2
Message length statistics standard deviation;-;1.0824375991151307;-;2.6539220037351874;2.648457568153438;50.30741485389603
Message length statistics variance;-;1.1716711559781285;-;7.043302001909791;7.014327490309223;2530.8359892819985
Messages entropy;-;16.622849598257066;-;15.054665529142572;15.286245817223389;22.38955448128964
Words entropy;-;16.622849598257066;-;15.050796850723772;15.286245817223389;11.461080396887233
Words length statistics average;-;8.587364685409097;-;7.403547654160838;7.375154617940763;56.08158595591622
Words length statistics max;-;10;-;18;16;473
Words length statistics min;-;5;-;1;1;2
Words length statistics standard deviation;-;1.0824375991151307;-;2.6539220037351874;2.648457568153438;50.30741485389603
Words length statistics variance;-;1.1716711559781285;-;7.043302001909791;7.014327490309223;2530.8359892819985
TimestampResults;******;******;******;******;******;******
Count distinct;-;-;2997018;-;-;-
Count not null;-;-;26839031;-;-;-
Count null;-;-;0;-;-;-
Delta time in seconds entropy;-;-;0.5604407438321847;-;-;-
Delta time in seconds statistics average;-;-;9.883906385588451;-;-;-
Delta time in seconds statistics max;-;-;3693120.0;-;-;-
Delta time in seconds statistics min;-;-;0.0;-;-;-
Delta time in seconds statistics standard deviation;-;-;907.6195599414791;-;-;-
Delta time in seconds statistics variance;-;-;823773.2655883641;-;-;-
Newest date;-;-;2012-11-30 20:03:00;-;-;-
Oldest date;-;-;2004-07-05 12:42:00;-;-;-
Timestamp entropy;-;-;21.0725348129288;-;-;-

Table Results
;Value
Entropy;None

Execution call tracker
;Value
